year,"last_name, first_name",player_id,team_id,pa,pitches,runs_all,runs_heart,runs_shadow,runs_chase,runs_waste,name_norm
2024,"Guillorme, Luis",641645,109,187,802,-7.727619404354159,-10.36574780064385,-5.704632759502826,4.963595819348742,3.379165336443759,luis guillorme
2024,"Ozuna, Marcell",542303,144,686,2875,46.1705975259673,23.70006530032549,-18.181596242991,23.70100284607419,16.951125622558703,marcell ozuna
2024,"Rosario, Eddie",592696,144,319,1187,-17.870276073141405,-16.9127965552875,-8.18669896809103,3.92774957525492,3.301469874982204,eddie rosario
2024,"Slater, Austin",596103,110,212,882,-5.19670975422586,-13.149038605814486,-5.186751868851648,7.8205107231844595,5.318569997255812,austin slater
2024,"Devers, Rafael",646240,111,587,2375,25.98430526782522,-6.74147092860863,6.741116928044757,18.668084648908025,7.316574619481019,rafael devers
2024,"Happ, Ian",664023,112,656,2721,5.5400277260702016,-10.049346848265737,-13.496180222476433,19.057747631488525,10.027807165323802,ian happ
2024,"Marte, Noelvi",682622,113,242,882,-15.174629133583553,-0.9418606543648204,-16.119810677834227,-0.8918973605837459,2.778939559199249,noelvi marte
2024,"Vaughn, Andrew",683734,145,618,2337,-1.4784751053967988,4.727567895779198,-25.58808956004767,8.477984008896305,10.904062549975366,andrew vaughn
2024,"Greene, Riley",682985,116,578,2404,21.02910803826473,10.0962575115043,-22.594886028419232,22.86566541938033,10.662071135799287,riley greene
2024,"Pasquantino, Vinnie",686469,118,553,2133,9.851806601549496,12.581829470749904,-20.68247848952228,9.686168720061849,8.26628690026001,vinnie pasquantino
2024,"Massey, Michael",686681,118,355,1330,1.539012642097093,7.312352783200884,-10.615774310236482,0.9388627048098148,3.903571464322851,michael massey
2024,"Wall, Forrest",657088,146,35,129,-2.6238663998755496,-2.8165350579285886,-0.868650000214296,0.7988029243018708,0.2625157339654632,forrest wall
2024,"McNeil, Jeff",643446,121,471,1711,-2.626255023977006,0.3200771089115222,-20.537692237068136,10.978574159912627,6.612785944266999,jeff mcneil
2024,"Grisham, Trent",663757,147,208,854,-1.539120020117262,-5.526570672924953,-7.886684495477437,9.149067032902323,2.725068115382798,trent grisham
2024,"Volpe, Anthony",683011,147,688,2796,-15.75719030517106,-16.98180325362742,-21.43247724529095,13.276236748113424,9.380853445633845,anthony volpe
2024,"Brown, Seth",664913,133,400,1552,-9.319617321839443,0.22330189810752,-20.67005705990277,4.813432452033354,6.313705387922472,seth brown
2024,"McCann, Kyle",668832,133,156,635,-1.5897189267945486,-5.892888703527137,-4.098585639827823,5.092067010694036,3.309688405866373,kyle mccann
2024,"Stubbs, Garrett",596117,143,187,746,-9.548553622926944,-9.009270976381517,-8.84080051586256,4.72627193216257,3.575245937154576,garrett stubbs
2024,"Wilson, Weston",642215,143,98,379,4.718928111494228,2.3046621571469914,-1.801754283051625,2.3819668592943377,1.8340533781045327,weston wilson
2024,"Marsh, Brandon",669016,143,476,2007,6.047426167990524,4.106825295267918,-18.6664902536146,11.05283346382129,9.554257662515916,brandon marsh
2024,"Grandal, Yasmani",518735,134,243,952,6.319836297521247,1.07008465833264,-3.654783168201409,6.597700200356417,2.306834607033596,yasmani grandal
2024,"Palacios, Joshua",641943,134,78,307,0.6457245545889421,-1.0780043742289158,-2.716183592957353,3.2569864951345675,1.1829260266406434,joshua palacios
2024,"Suwinski, Jack",669261,134,275,1114,-9.829007769597323,-7.665223153377431,-16.450491385793985,11.44897831601224,2.837728453561848,jack suwinski
2024,"Haggerty, Sam",664059,136,16,59,-2.790397627392509,-1.599464253783081,-1.5701045028188534,0.1802493224127618,0.1989218067966632,sam haggerty
2024,"Jackson, Alex",656577,139,155,626,-14.227508571045286,-11.8055770966522,-6.220602968005643,3.3652418164020736,0.4334296772104933,alex jackson
2024,"Rortvedt, Ben",666163,139,327,1357,-8.796736105526975,-9.13054275337752,-14.32834710766067,8.867892426220607,5.794261329290582,ben rortvedt
2024,"Clement, Ernie",676391,141,451,1449,-1.932996972251426,4.736242625799891,-16.51881189832616,5.090759163296065,4.7588131369787545,ernie clement
2024,"Call, Alex",669743,120,113,493,9.236202832843889,0.8425147200869456,1.4424846802734763,5.288718828927105,1.6624846035563654,alex call
2024,"Rengifo, Luis",650859,108,304,1084,2.316949916645807,-6.492173007327479,-0.6773080705632881,4.331419949739564,5.1550110447970034,luis rengifo
2024,"Thomas, Alek",677950,109,103,372,-4.645851184137252,-0.574064127247372,-6.666087233609268,1.3042545965214576,1.2900455801979291,alek thomas
2024,"Urías, Ramón",602104,110,301,1150,5.087143976411395,-6.333841837930274,-5.798114645189532,10.823059344980486,6.396041114550709,ramon urias
2024,"Refsnyder, Rob",608701,111,305,1202,10.046710254849506,4.559244483871924,-7.139472944521318,7.84615344886573,4.780785266633204,rob refsnyder
2024,"Abreu, Wilyer",677800,111,447,1806,8.847638407038946,-0.7100668590973104,-6.127850560896524,9.700495439459386,5.9850603875734505,wilyer abreu
2024,"Busch, Michael",683737,112,566,2365,10.813288699147694,-1.9756771553104644,-19.506249183386995,21.9972662933768,10.297948744468387,michael busch
2024,"Rosario, Amed",642708,113,346,1210,-2.093033410905621,-8.07478045772229,-5.270824351763904,7.206950895773062,4.045620502807511,amed rosario
2024,"Naylor, Josh",647304,114,625,2284,12.76969286248395,-6.7478288402118975,-7.181009385876171,14.988007357146886,11.71052373142514,josh naylor
2024,"Martínez, Angel",682657,114,169,677,-3.843520868338018,-7.416989166991465,-2.929184413210833,4.199589535067209,2.3030631767970697,angel martinez
2024,"DeLoach, Zach",676113,145,75,298,-1.0141054128598426,0.2913922405689015,-4.435863488088497,1.6123279002202648,1.518037934439485,zach deloach
2024,"Ibáñez, Andy",628451,116,244,917,-4.035886667017044,-0.0819615160481894,-13.43168298686023,5.384657489896106,4.093100345995266,andy ibanez
2024,"Keith, Colt",690993,116,552,2011,-0.2921514018627393,2.336174944432419,-21.052648158781626,10.601737910479825,7.822583902006642,colt keith
2024,"Cabbage, Trey",663550,117,91,336,-5.380554166636745,0.4644475293575716,-6.550688589604983,-0.6861841940294524,1.3918710876401177,trey cabbage
2024,"Ohtani, Shohei",660271,119,721,2838,71.25898706129395,41.9668856162096,-7.502236151904226,25.309127502166746,11.485210094821982,shohei ohtani
2024,"Sánchez, Jesús",660821,146,534,1991,-0.2599810361406544,3.897133967069206,-16.521307728482338,6.368653297287343,5.995539427985118,jesus sanchez
2024,"Farmer, Kyle",571657,142,240,882,-5.686250187141631,-2.8242958459123404,-9.696391533882858,3.636144133408497,3.198293059245063,kyle farmer
2024,"Alvarez, Eddy",657193,121,11,54,-1.4415095844709107,-1.9303658067380305,-0.5252037877902304,0.2031420687675565,0.8109179412897936,eddy alvarez
2024,"Alvarez, Francisco",682626,121,341,1331,0.2283230708990468,-0.6733812182443816,-11.098232883068649,7.287328658471894,4.71260851374017,francisco alvarez
2024,"Nevin, Tyler",663527,133,278,1090,-5.253006752538129,-4.14473871454146,-15.105153252072256,8.838346409616216,5.158538804459358,tyler nevin
2024,"Schwarber, Kyle",656941,143,688,2852,30.74729999058541,9.005413195264092,-20.08058901522095,26.126598340164414,15.69587747037784,kyle schwarber
2024,"Gonzales, Nick",693304,134,386,1371,-1.041500449375255,-8.543449147970664,-5.249481244879361,7.886792649237408,4.864637294237348,nick gonzales
2024,"Solano, Donovan",456781,135,309,1273,6.542698818553938,4.314711050484512,-11.352562749756542,8.243125910421215,5.33742460740475,donovan solano
